"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"SVPGLOB","INE308E01029","SVP Global Ventures Limited","14-Jul-2021","1","1","1","-"
"GANGAFORGE","INE691Z01015","Ganga Forging Limited","06-Jul-2021","10","10","1","-"
"IPL","INE0D6701023","India Pesticides Limited","05-Jul-2021","1","1","1","-"
"HINDCON","INE642Y01011","Hindcon Chemicals Limited","05-Jul-2021","10","10","1","-"
"DODLA","INE021O01019","Dodla Dairy Limited","28-Jun-2021","10","10","1","-"
"KIMS","INE967H01017","Krishna Institute of Medical Sciences Limited","28-Jun-2021","10","10","1","-"
"SHYAMMETL","INE810G01011","Shyam Metalics and Energy Limited","24-Jun-2021","10","10","1","-"
"SONACOMS","INE073K01018","Sona BLW Precision Forgings Limited","24-Jun-2021","10","10","1","-"
"SBCL","INE386D01027","Shivalik Bimetal Controls Limited","24-Jun-2021","2","2","1","-"
"ARIHANTCAP","INE420B01028","Arihant Capital Markets Limited","15-Jun-2021","5","5","1","-"
"VINEETLAB","INE505Y01010","Vineet Laboratories Limited","15-Jun-2021","10","10","1","-"
"IWEL","INE0FLR01028","Inox Wind Energy Limited","11-Jun-2021","10","10","1","-"
"ANMOL","INE02AR01019","Anmol India Limited","04-Jun-2021","10","10","1","-"
"MOKSH","INE514Y01020","Moksh Ornaments Limited","21-May-2021","2","2","1","-"
"PROINDIA","INE217G01035","Proseed India Limited","19-May-2021","1","1","1","-"
"CLSEL","INE419D01026","Chaman Lal Setia Exports Limited","12-May-2021","2","2","1","-"
"CAMS","INE596I01012","Computer Age Management Services Limited","07-May-2021","10","10","1","-"
"AJOONI","INE820Y01013","Ajooni Biotech Limited","07-May-2021","10","10","1","-"
"ISGEC","INE858B01029","Isgec Heavy Engineering Limited","05-May-2021","1","1","1","-"
"MODISNME","INE737D01021","Modison Metals Limited","03-May-2021","1","1","1","-"
"DEEPINDS","INE0FHS01016","Deep Industries Limited","27-Apr-2021","10","10","1","-"
"TEMBO","INE869Y01010","Tembo Global Industries Limited","23-Apr-2021","10","10","1","-"
"NITIRAJ","INE439T01012","Nitiraj Engineers Limited","22-Apr-2021","10","10","1","-"
"LODHA","INE670K01029","Macrotech Developers Limited","19-Apr-2021","10","10","1","-"
"BARBEQUE","INE382M01027","Barbeque Nation Hospitality Limited","07-Apr-2021","5","5","1","-"
"SUVIDHAA","INE018401013","Suvidhaa Infoserve Limited","31-Mar-2021","1","1","1","-"
"ORTINLAB","INE749B01020","Ortin Laboratories Limited","30-Mar-2021","10","10","1","-"
"NAZARA","INE418L01021","Nazara Technologies Limited","30-Mar-2021","4","4","1","-"
"KALYANKJIL","INE303R01014","Kalyan Jewellers India Limited","26-Mar-2021","10","10","1","-"
"SURYODAY","INE428Q01011","Suryoday Small Finance Bank Limited","26-Mar-2021","10","10","1","-"
"LXCHEM","INE576O01020","Laxmi Organic Industries Limited","25-Mar-2021","2","2","1","-"
"CRAFTSMAN","INE00LO01017","Craftsman Automation Limited","25-Mar-2021","5","5","1","-"
"ANURAS","INE930P01018","Anupam Rasayan India Limited","24-Mar-2021","10","10","1","-"
"ARVEE","INE006Z01016","Arvee Laboratories (India) Limited","22-Mar-2021","10","10","1","-"
"JUBLINGREA","INE0BY001018","Jubilant Ingrevia Limited","19-Mar-2021","1","1","1","-"
"EASEMYTRIP","INE07O001018","Easy Trip Planners Limited","19-Mar-2021","2","2","1","-"
"MTARTECH","INE864I01014","Mtar Technologies Limited","15-Mar-2021","10","10","1","-"
"DRCSYSTEMS","INE03RS01019","DRC Systems India Limited","10-Mar-2021","10","10","1","-"
